,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
327,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",327
328,Martinus Nijhoff Publishers,https://upload.wikimedia.org/wikipedia/en/5/57/MNP_logo.png,Belgium,"Books, Journals, E-books and Online platforms",1853,Brill Publishers,Leiden,www.brill.com/brill-nijhoff,,,328
329,Brill Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Brill_Publishers_logo.svg/180px-Brill_Publishers_logo.svg.png,Netherlands,Books,1683; 338 years ago (1683),Unkown,Leiden,brill.com,,,329
330,Matthias Media,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Matthias_Media_logo.png/300px-Matthias_Media_logo.png,Australia,"Magazines, books, tracts, audiobooks",Unknown,Unkown,Sydney,www.matthiasmedia.com.au,,,330
331,McClelland & Stewart,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/McClelland_%26_Stewart_Logo.png/200px-McClelland_%26_Stewart_Logo.png,Canada,Books,1906; 115 years ago (1906),Penguin Random House,Toronto,www.mcclelland.com,"8,10,15,37,81,118","22,45,49,52,136,246,435",331
332,McFarland & Company,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/McFarland_%26_Company_logo.JPG/220px-McFarland_%26_Company_logo.JPG,United States,"academic and adult nonfiction, monographs, reference material, scholarly journals",1979,Unkown,"Jefferson, North Carolina",mcfarlandbooks.com,,,332
333,McGraw-Hill Education,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/McGraw-Hill_Education_wordmark.svg/220px-McGraw-Hill_Education_wordmark.svg.png,United States,Adaptive learning,1888,Unkown,New York City,www.mheducation.com,,,333
334,Medknow Publications,-1,India,Academic journals,1997,Wolters Kluwer,Mumbai,www.medknow.com,,,334
335,Melbourne University Publishing,-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au,,,335
336,Mercier Press,-1,Ireland,Unknown,1944,Unkown,Cork,www.mercierpress.ie,,,336
337,Methuen Publishing,-1,United Kingdom,books,1889; 132 years ago (1889),Unkown,North Yorkshire,www.methuen.co.uk,,,337
338,Michael O'Mara Books,-1,United Kingdom,Books,1985,Unkown,London,www.mombooks.com,,,338
